row_id,predicted_model,true_model,primary_query
537,UNKNOWN,UNKNOWN,
538,UNKNOWN,UNKNOWN,SKY SET-TOP BOX
539,UNKNOWN,UNKNOWN,HD+
540,UNKNOWN,UNKNOWN,
541,UNKNOWN,UNKNOWN,PLAYSTATION 5
542,UNKNOWN,UNKNOWN,VIRGIN TV
543,UNKNOWN,SONOS ARCULTRA,ARC ULTRA
544,UNKNOWN,UNKNOWN,AMAZON FIRETV
545,SONOS BEAM,UNKNOWN,PS4 SPELKONSOL
546,SONOS BEAM,UNKNOWN,FIRE TV STICK
547,UNKNOWN,UNKNOWN,
548,UNKNOWN,UNKNOWN,DR58
549,UNKNOWN,BOSE SMARTULTRA,BOSESMARTULTRA
550,UNKNOWN,UNKNOWN,JBL CLIP 4
551,UNKNOWN,UNKNOWN,AMAZON FIRE T
552,UNKNOWN,UNKNOWN,AMAZON FIRETV
553,UNKNOWN,UNKNOWN,TD-TW16
554,UNKNOWN,UNKNOWN,XBOX ONE CONSOLA DE JOC
555,UNKNOWN,UNKNOWN,XBOX
556,UNKNOWN,UNKNOWN,LG CHANNELS
557,BOSE LIFESTYLE135,UNKNOWN,BOSE LIFESTYLE
558,UNKNOWN,UNKNOWN,DMP-PLAY
559,UNKNOWN,UNKNOWN,HD+
560,UNKNOWN,UNKNOWN,
561,SONOS ARC,UNKNOWN,TELENETTVBOX
562,UNKNOWN,UNKNOWN,VIRGIN SET-TOP BOX
563,UNKNOWN,HARMAN ENCHANT800,ENCHANT 900
564,UNKNOWN,UNKNOWN,TELENOR DIGITALBOKS
565,UNKNOWN,UNKNOWN,HTR-3072
566,UNKNOWN,UNKNOWN,
567,HISENSE HS2100,UNKNOWN,TELENOR DIGITALBOKS
568,UNKNOWN,UNKNOWN,
569,UNKNOWN,UNKNOWN,SKY Q
570,UNKNOWN,UNKNOWN,JABRA EVOLVE2 75
571,UNKNOWN,UNKNOWN,FVP-4KGTR
572,UNKNOWN,UNKNOWN,
573,UNKNOWN,UNKNOWN,
574,UNKNOWN,UNKNOWN,
575,LG S70TY,LG S70TY,LG S70TY
576,UNKNOWN,UNKNOWN,
577,UNKNOWN,UNKNOWN,
578,UNKNOWN,UNKNOWN,VODAFONE TV DECODIFICADOR
579,UNKNOWN,UNKNOWN,SKY Q
580,UNKNOWN,UNKNOWN,BOUYGUES TELECOM BO TIER D CODEUR /BOX INTERNET
581,HISENSE HS3100,HISENSE HS3100,HS3100
582,UNKNOWN,UNKNOWN,
583,UNKNOWN,UNKNOWN,PLAYSTATION 5
584,DENON DHTS517,DENON DHTS517,DHT-S517
585,UNKNOWN,UNKNOWN,PLAYSTATION 5
586,UNKNOWN,UNKNOWN,TV DA SALA DE
587,UNKNOWN,UNKNOWN,
588,UNKNOWN,UNKNOWN,PS5 J T KKONZOL
589,UNKNOWN,UNKNOWN,APPLE TV
590,SONOS ARC,UNKNOWN,APPLE TV
591,UNKNOWN,UNKNOWN,HD+
592,UNKNOWN,UNKNOWN,HD+
593,LG S20A,LG S20A,LG US20A
594,UNKNOWN,UNKNOWN,
595,UNKNOWN,UNKNOWN,EVOBOX LITE
596,UNKNOWN,UNKNOWN,NAPPALI
597,UNKNOWN,UNKNOWN,
598,UNKNOWN,UNKNOWN,SKY Q
599,UNKNOWN,UNKNOWN,
600,UNKNOWN,UNKNOWN,
601,UNKNOWN,UNKNOWN,
602,UNKNOWN,UNKNOWN,MEO BOX
603,UNKNOWN,UNKNOWN,
604,UNKNOWN,UNKNOWN,MEDIABOX
605,UNKNOWN,UNKNOWN,
606,UNKNOWN,UNKNOWN,MEDIABOX
607,UNKNOWN,UNKNOWN,SKY SET-TOP BOX
608,UNKNOWN,UNKNOWN,
609,UNKNOWN,UNKNOWN,
610,LG S77TY,LG S77TY,LG NS77TY
611,UNKNOWN,UNKNOWN,
612,UNKNOWN,UNKNOWN,
613,UNKNOWN,UNKNOWN,PLAYSTATION 5
614,UNKNOWN,YAMAHA ATS2090 ,ATS-2090
615,UNKNOWN,UNKNOWN,
616,UNKNOWN,UNKNOWN,
617,JBL CINEMASB560,JBL CINEMASB560,CINEMA SB560
618,UNKNOWN,UNKNOWN,
619,BOSE SMARTULTRA,UNKNOWN,VIRGIN TV 1
620,HISENSE AX5125H,HISENSE AX5125H,AX 5125H
621,UNKNOWN,UNKNOWN,
622,UNKNOWN,UNKNOWN,
623,UNKNOWN,UNKNOWN,
624,UNKNOWN,UNKNOWN,CHROMECAST
625,UNKNOWN,UNKNOWN,SKY
626,UNKNOWN,UNKNOWN,T-HOME BELT RI EGYS G
627,UNKNOWN,UNKNOWN,D-PHONAK APPARECCHIO ACUSTICO
628,BOSE SOUNDBAR500,BOSE SOUNDBAR500,SOUNDBAR 500
629,UNKNOWN,UNKNOWN,KPN DECODER
630,UNKNOWN,UNKNOWN,
631,UNKNOWN,UNKNOWN,
632,UNKNOWN,UNKNOWN,SKY Q
633,SAMSUNG HWQ800F,SAMSUNG HWQ800F,HW-Q800F
634,UNKNOWN,UNKNOWN,RT-G2
635,JBL CINEMASB580,JBL CINEMASB580,CINEMA SB580
636,UNKNOWN,UNKNOWN,
637,UNKNOWN,UNKNOWN,
638,LG S70TR,LG S70TR,LG NS70TR
639,UNKNOWN,UNKNOWN,HT-G700
640,UNKNOWN,UNKNOWN,SALON
641,UNKNOWN,UNKNOWN,FIRE TV STICK
642,UNKNOWN,UNKNOWN,
643,UNKNOWN,UNKNOWN,SKY SD SET-TOP BOX
644,PHILIPS PHILIPSSOUNDBAR,PHILIPS PHILIPSSOUNDBAR,PHILIPS HTB
645,PHILIPS TAB5109,PHILIPS TAB5109,PHILIPS B5109
646,UNKNOWN,UNKNOWN,VIRGIN TV
647,UNKNOWN,UNKNOWN,PLAYSTATION 5
648,UNKNOWN,UNKNOWN,TTNET SET ST KUTU
649,BOSE SMARTSB,UNKNOWN,EON SMART BOX
650,UNKNOWN,UNKNOWN,DV8547 AVATEL
651,UNKNOWN,UNKNOWN,JBL TUNE 720BT
652,UNKNOWN,UNKNOWN,AMAZON FIRE T
653,BOSE TVSPKR,BOSE TVSPKR,BOSE TV SPKR
654,UNKNOWN,UNKNOWN,HD+
655,UNKNOWN,UNKNOWN,
656,UNKNOWN,UNKNOWN,VIETA PRO WAY 5
657,UNKNOWN,UNKNOWN,LAMINITK
658,UNKNOWN,UNKNOWN,LG CHANNELS
659,UNKNOWN,UNKNOWN,SUNRISE TV
660,LG SC9S,LG SC9S,LG DSC9S
661,UNKNOWN,UNKNOWN,LG CHANNELS
662,UNKNOWN,UNKNOWN,SKY Q SET-TOP BOX
663,UNKNOWN,UNKNOWN,STB
664,DENON DENONSOUNDBAR,UNKNOWN,AVR-X2700H
665,UNKNOWN,UNKNOWN,
666,UNKNOWN,UNKNOWN,TEUFEL CS 42
667,UNKNOWN,UNKNOWN,XBOX
668,UNKNOWN,UNKNOWN,EE TV
669,UNKNOWN,UNKNOWN,VIP7802
670,UNKNOWN,UNKNOWN,PS4 CONSOLA DE JUEGOS
671,UNKNOWN,UNKNOWN,LG CHANNELS
672,UNKNOWN,UNKNOWN,RX-V779
673,UNKNOWN,UNKNOWN,SKY Q
674,UNKNOWN,UNKNOWN,
675,UNKNOWN,UNKNOWN,BD SYSTEM
676,UNKNOWN,UNKNOWN,
677,UNKNOWN,UNKNOWN,
678,UNKNOWN,UNKNOWN,LG CHANNELS
679,UNKNOWN,UNKNOWN,
680,LG SQC1,LG SQC1,LG SQC1
681,UNKNOWN,UNKNOWN,
682,UNKNOWN,UNKNOWN,SKY Q
683,UNKNOWN,UNKNOWN,SKY
684,UNKNOWN,LG S77TY,LG NS77TY
685,UNKNOWN,UNKNOWN,FIRE TV STICK
686,UNKNOWN,UNKNOWN,
687,UNKNOWN,UNKNOWN,SATELLIT
688,LG S20A,UNKNOWN,NINTENDOSWITCH
689,UNKNOWN,UNKNOWN,
690,LG S90TR,LG S90TR,LG DS90TR
691,UNKNOWN,UNKNOWN,LIVING ROOM TV
692,UNKNOWN,UNKNOWN,AMAZON FIRETV
693,UNKNOWN,UNKNOWN,SKY Q
694,UNKNOWN,UNKNOWN,AMAZON FIRE T
695,UNKNOWN,UNKNOWN,HD+
696,UNKNOWN,UNKNOWN,BEDROOM
697,UNKNOWN,LG SC9S,LG SPEAKER SC9S 4449
698,UNKNOWN,UNKNOWN,
699,UNKNOWN,UNKNOWN,VIRGIN SET-TOP BOX
700,UNKNOWN,UNKNOWN,FIRE TV STICK
701,UNKNOWN,UNKNOWN,BOSE REVOLVE II SOUNDLINK
702,UNKNOWN,UNKNOWN,PLAYSTATION 5
703,LG S95TR,UNKNOWN,LG REPRODUCTOR DE DVD
704,UNKNOWN,UNKNOWN,EVOBOX PVR
705,UNKNOWN,UNKNOWN,HD+
706,UNKNOWN,UNKNOWN,POLK REACT
707,UNKNOWN,UNKNOWN,REDMI BUDS 4 LITE
708,UNKNOWN,UNKNOWN,
709,LG S70TY,UNKNOWN,SKY Q
710,UNKNOWN,SAMSUNG HWM4500,AV SAMSUNG SOUNDBAR M4500 M-SERIES
711,LG S40T,LG S40T,LG S40T
712,UNKNOWN,UNKNOWN,
713,UNKNOWN,UNKNOWN,WIIM MINI-OLKKARI
714,LG SQC2,LG SQC2,LG SQC2
715,LG S70TR,LG S70TR,LG S70TR
716,UNKNOWN,UNKNOWN,XBOX KONSOLA DO GIER
717,UNKNOWN,UNKNOWN,
718,LG S95TR,LG S95TR,LG S95TR
719,SONOS BEAM,SONOS BEAM,SONOS BEAM
720,UNKNOWN,UNKNOWN,ORANGE FIBRE OPTIQUE BO TIER D CODEUR /BOX INTERNET
721,UNKNOWN,UNKNOWN,FIRE TV STICK
722,UNKNOWN,UNKNOWN,FIRE TV STICK
723,UNKNOWN,UNKNOWN,APPLE TV
724,UNKNOWN,UNKNOWN,
725,UNKNOWN,UNKNOWN,AMAZON FIRE T
726,UNKNOWN,UNKNOWN,AV SAMSUNG SOUNDBAR Q70T
727,UNKNOWN,UNKNOWN,AMAZON OTT
728,UNKNOWN,UNKNOWN,SKY
729,UNKNOWN,UNKNOWN,DIGITURK SET ST KUTU
730,SONOS BEAM,SONOS BEAM,SONOS BEAM
731,UNKNOWN,UNKNOWN,DIGI R2A
732,UNKNOWN,UNKNOWN,AIRPODS PRO
733,UNKNOWN,UNKNOWN,
734,UNKNOWN,UNKNOWN,AMAZON FIRETV
735,UNKNOWN,UNKNOWN,PS5
736,UNKNOWN,UNKNOWN,
737,UNKNOWN,UNKNOWN,TV IN WOONKAME
738,UNKNOWN,UNKNOWN,HD+
739,UNKNOWN,UNKNOWN,NINTENDOSWITCH
740,UNKNOWN,UNKNOWN,MAGENTATV ONE
741,UNKNOWN,UNKNOWN,
742,SONY HTMT500,SONY HTMT500,HT-MT500/501
743,UNKNOWN,UNKNOWN,FREEBOX PLAYE
744,UNKNOWN,UNKNOWN,JANI AIRPODS - FIND MY
745,UNKNOWN,UNKNOWN,JBL XTREME 3
746,UNKNOWN,UNKNOWN,
747,UNKNOWN,UNKNOWN,
748,UNKNOWN,UNKNOWN,SKY Q
749,UNKNOWN,UNKNOWN,MOVISTAR TV
750,UNKNOWN,UNKNOWN,MITV-AESP0 9272
751,UNKNOWN,UNKNOWN,CONNECT TV DE
752,UNKNOWN,UNKNOWN,CREATIVE STAGE
753,UNKNOWN,UNKNOWN,
754,BOSE SOUNDBAR500,BOSE SOUNDBAR500,SOUNDBAR 500
755,BOSE SOUNDTOUCH300,BOSE SOUNDTOUCH300,SOUNDTOUCH 300
756,UNKNOWN,UNKNOWN,SKY DEUTSCHLAND SET-TOP-BOX
757,UNKNOWN,UNKNOWN,UMA
758,UNKNOWN,UNKNOWN,
759,UNKNOWN,UNKNOWN,
760,UNKNOWN,UNKNOWN,
761,UNKNOWN,UNKNOWN,XBOX GAME CONSOLE
762,UNKNOWN,UNKNOWN,BD SYSTEM
763,UNKNOWN,UNKNOWN,
764,UNKNOWN,UNKNOWN,FIRE TV STICK
765,UNKNOWN,UNKNOWN,MINIX OTT
766,UNKNOWN,UNKNOWN,
767,HARMAN CITATIONMB,HARMAN CITATIONMB,CITATION MB
768,UNKNOWN,UNKNOWN,EVOBOX 4K
769,LG SC9S,LG SC9S,LG DSC9S
770,UNKNOWN,UNKNOWN,
771,LG S70TY,LG S70TY,LG S70TY
772,UNKNOWN,UNKNOWN,AMAZON FIRE T
773,UNKNOWN,UNKNOWN,FIRE TV STICK
774,UNKNOWN,UNKNOWN,PS5 GAME CONSOLE
775,UNKNOWN,UNKNOWN,VIRGIN SET-TOP BOX
776,UNKNOWN,UNKNOWN,TV STICK
777,UNKNOWN,UNKNOWN,BUDS FE DI ALESSANDRO
778,UNKNOWN,UNKNOWN,
779,JBL CINEMASB580,JBL CINEMASB580,CINEMA SB580
780,LG S60T,UNKNOWN,SFR BO TIER D CODEUR /BOX INTERNET
781,UNKNOWN,UNKNOWN,HD+
782,UNKNOWN,UNKNOWN,ECHO SHOW 5-B8W
783,UNKNOWN,UNKNOWN,MARTYN AIRPODS - FIND MY
784,UNKNOWN,UNKNOWN,
785,UNKNOWN,UNKNOWN,LG-SQM1
786,UNKNOWN,UNKNOWN,
787,UNKNOWN,UNKNOWN,
788,UNKNOWN,UNKNOWN,FIRE TV STICK
789,UNKNOWN,UNKNOWN,BP MS50BT
790,UNKNOWN,UNKNOWN,
791,UNKNOWN,UNKNOWN,
792,UNKNOWN,UNKNOWN,VODAFONE SET-TOP BOX
793,JBL CINEMASB550,JBL CINEMASB550,CINEMA SB550
794,UNKNOWN,SONY HTG700,HT-G700
795,LG SH5A,LG SH5A,LG SH5A
796,UNKNOWN,UNKNOWN,AMAZON FIRE T
797,UNKNOWN,UNKNOWN,AMAZON FIRETV
798,UNKNOWN,UNKNOWN,
799,UNKNOWN,UNKNOWN,AMAZON FIRE TV STICK
800,UNKNOWN,UNKNOWN,PS3
801,UNKNOWN,UNKNOWN,
802,UNKNOWN,UNKNOWN,KPN DECODER
803,UNKNOWN,UNKNOWN,ESSB MS-E-200-D
804,UNKNOWN,UNKNOWN,YOUSEE TV
805,UNKNOWN,UNKNOWN,VODAFONE TV DECODIFICADOR
806,UNKNOWN,UNKNOWN,TV HUB
807,UNKNOWN,UNKNOWN,
808,LG S77TY,LG S77TY,LG NS77TY
809,UNKNOWN,UNKNOWN,
810,UNKNOWN,UNKNOWN,
811,UNKNOWN,UNKNOWN,AMAZON FIRETV
812,UNKNOWN,UNKNOWN,EVOBOX PVR
813,UNKNOWN,YAMAHA YAS209,YAS-209
814,UNKNOWN,UNKNOWN,SKY
815,UNKNOWN,UNKNOWN,4K ULTRABOX+
816,UNKNOWN,UNKNOWN,
817,UNKNOWN,UNKNOWN,VIRGIN TV
818,UNKNOWN,UNKNOWN,APPLE TV
819,SONOS BEAM,SONOS BEAM,SONOS BEAM
820,UNKNOWN,UNKNOWN,
821,UNKNOWN,UNKNOWN,MAAK LOS
822,DENON DENONSOUNDBAR,UNKNOWN,XBOX CONSOLE GIOCHI
823,UNKNOWN,UNKNOWN,XBOX
824,LG S95TR,LG S95TR,LG DS95TR
825,UNKNOWN,UNKNOWN,XBOX ONE CONSOLE GIOCHI
826,UNKNOWN,UNKNOWN,AUDIO SYSTEM
827,JBL BAR1300M2,UNKNOWN,APPLE TV
828,UNKNOWN,UNKNOWN,SOUNDCORE BOOM 2
829,UNKNOWN,UNKNOWN,FIRE TV STICK
830,UNKNOWN,UNKNOWN,FERNSEHER IM S
831,UNKNOWN,SONY HTS20R,HT-S20R
832,UNKNOWN,UNKNOWN,PS5 SPIELKONSOLE
833,JBL BAR5.1,JBL BAR5.1,JBL BAR 5.1
834,LG SC9S,LG SC9S,LG SC9S
835,UNKNOWN,UNKNOWN,WII
836,UNKNOWN,UNKNOWN,EE TV
837,UNKNOWN,UNKNOWN,
838,UNKNOWN,UNKNOWN,WOHNZIMMER
839,LG SC9S,UNKNOWN,TALKTALK SET-TOP BOX
840,SONOS BEAM,UNKNOWN,TV IN WOONKAME
841,UNKNOWN,UNKNOWN,FIRE TV STICK
842,UNKNOWN,UNKNOWN,TV-BOX 1
843,UNKNOWN,UNKNOWN,PLAY BOX TV
844,UNKNOWN,UNKNOWN,PLAYSTATION 5
845,UNKNOWN,UNKNOWN,
846,UNKNOWN,UNKNOWN,
847,UNKNOWN,UNKNOWN,
848,LG S70TR,UNKNOWN,EE TV
849,UNKNOWN,UNKNOWN,EVOBOX STREAM
850,UNKNOWN,UNKNOWN,TELIA TV
851,LG SC9S,UNKNOWN,EE TV
852,UNKNOWN,UNKNOWN,
853,UNKNOWN,UNKNOWN,
854,LG SG10TY,LG SG10TY,LG DSG10TY
855,UNKNOWN,UNKNOWN,BEIN BO TIER D CODEUR /BOX INTERNET
856,UNKNOWN,UNKNOWN,
857,UNKNOWN,UNKNOWN,APPLE TV
858,UNKNOWN,UNKNOWN,APPLE TV
859,UNKNOWN,UNKNOWN,
860,UNKNOWN,UNKNOWN,AMAZON FIRETV
861,UNKNOWN,UNKNOWN,
862,UNKNOWN,UNKNOWN,AMAZON FIRE T
863,UNKNOWN,UNKNOWN,
864,UNKNOWN,UNKNOWN,
865,UNKNOWN,UNKNOWN,WH-CH720N
866,UNKNOWN,SONOS ARCULTRA,ARC ULTRA
867,UNKNOWN,UNKNOWN,SKY
868,LG S40T,LG S40T,LG DS40T
869,UNKNOWN,UNKNOWN,SKY
870,UNKNOWN,UNKNOWN,
871,UNKNOWN,UNKNOWN,HD+
872,UNKNOWN,UNKNOWN,SKY
873,LG SC9S,UNKNOWN,VIRGIN SET-TOP BOX
874,UNKNOWN,UNKNOWN,HD+
875,UNKNOWN,UNKNOWN,
876,UNKNOWN,UNKNOWN,APPLE TV
877,UNKNOWN,UNKNOWN,
878,UNKNOWN,UNKNOWN,
879,UNKNOWN,UNKNOWN,
880,UNKNOWN,UNKNOWN,VODAFONE TV
881,UNKNOWN,UNKNOWN,NOS BOX
882,UNKNOWN,UNKNOWN,
883,LG S95TR,UNKNOWN,AMAZON FIRETV
884,UNKNOWN,UNKNOWN,
885,UNKNOWN,UNKNOWN,PLAYSTATION 5
886,SONOS BEAM,UNKNOWN,VODAFONE TV
887,UNKNOWN,UNKNOWN,
888,UNKNOWN,UNKNOWN,FIRE TV STICK
889,UNKNOWN,UNKNOWN,DECODEUR TV 6
890,UNKNOWN,UNKNOWN,PS4 CONSOLE GIOCHI
891,UNKNOWN,UNKNOWN,AMAZON FIRE T
892,UNKNOWN,UNKNOWN,
893,UNKNOWN,UNKNOWN,HD+
894,LG S80TR,LG S80TY,LG S80TY
895,UNKNOWN,UNKNOWN,MEDIABOX
896,UNKNOWN,UNKNOWN,MEO BOX
897,SAMSUNG SAMSUNGSOUNDBAR,UNKNOWN,ZIGGO DECODER
898,UNKNOWN,UNKNOWN,FREEBOX PLAYE
899,UNKNOWN,UNKNOWN,
900,SONOS BEAM,SONOS BEAM,SONOS BEAM
901,LG S95TR,LG S95TR,LG DS95TR
902,UNKNOWN,UNKNOWN,TV I STUEN
903,PHILIPS HTL2163,PHILIPS HTL2163,HTL2163
904,UNKNOWN,UNKNOWN,VODAFONE TV PL
905,UNKNOWN,UNKNOWN,LG HOME THEATRE
906,UNKNOWN,UNKNOWN,SKY Q
907,UNKNOWN,UNKNOWN,
908,UNKNOWN,UNKNOWN,
909,LG S20A,LG S20A,LG S20A
910,UNKNOWN,BOSE SOUNDTOUCH130,SOUNDTOUCH 10 K CHE
911,UNKNOWN,UNKNOWN,FREEBOX BO TIER D CODEUR /BOX INTERNET
912,UNKNOWN,UNKNOWN,MAGENTATV ONE
913,UNKNOWN,UNKNOWN,BOX TV
914,UNKNOWN,UNKNOWN,SKY
915,SONOS BEAM,UNKNOWN,APPLE TV
916,UNKNOWN,UNKNOWN,
917,UNKNOWN,UNKNOWN,FIRE TV STICK
918,UNKNOWN,UNKNOWN,
919,UNKNOWN,UNKNOWN,MEDIABOX
920,UNKNOWN,UNKNOWN,PS4 SPELKONSOL
921,UNKNOWN,UNKNOWN,
922,UNKNOWN,UNKNOWN,
923,UNKNOWN,UNKNOWN,
924,DENON DENONSOUNDBAR,UNKNOWN,DENON DVD
925,UNKNOWN,UNKNOWN,TALK TALK SET-TOP BOX
926,UNKNOWN,UNKNOWN,
927,UNKNOWN,UNKNOWN,
928,UNKNOWN,UNKNOWN,
929,UNKNOWN,UNKNOWN,
930,LG S80TR,LG S80TR,LG S80TY
931,UNKNOWN,UNKNOWN,NINTENDOSWITCH
932,UNKNOWN,UNKNOWN,
933,LG S90TY,LG S90TY,LG NS90TY
934,UNKNOWN,LG S91TY,
935,UNKNOWN,LG S92TY,SUNRISE TV 1
936,UNKNOWN,LG S93TY,APPLE TV
937,LG S95TR,LG S95TR,LG S95TR
938,UNKNOWN,UNKNOWN,TELIA TV
939,JBL BAR5.1,UNKNOWN,UPC DEKODER
940,UNKNOWN,UNKNOWN,
941,UNKNOWN,UNKNOWN,SKY X SET-TOP-BOX
942,UNKNOWN,UNKNOWN,APPLE TV
943,UNKNOWN,UNKNOWN,SKY Q
944,LG S40T,LG S40T,LG S40T
945,UNKNOWN,UNKNOWN,ORANGE BO TIER D CODEUR /BOX INTERNET
946,UNKNOWN,UNKNOWN,AMAZON FIRE T
947,UNKNOWN,UNKNOWN,MAG544
948,LG SG10TY,UNKNOWN,PLAYSTATION 5
949,LG SJ3,LG SJ3,LG SJ3
950,UNKNOWN,UNKNOWN,GIGATV HOME
951,UNKNOWN,UNKNOWN,EVOBOX LITE
952,UNKNOWN,UNKNOWN,
953,UNKNOWN,UNKNOWN,8K618-T
954,UNKNOWN,UNKNOWN,AMAZON FIRETV
955,UNKNOWN,UNKNOWN,XBOX CONSOLA DE JOGOS
956,UNKNOWN,UNKNOWN,PLAYSTATION 5
957,UNKNOWN,UNKNOWN,DOQAUS CARE 1
958,UNKNOWN,UNKNOWN,FIRE TV STICK
959,UNKNOWN,UNKNOWN,
960,UNKNOWN,UNKNOWN,
961,UNKNOWN,UNKNOWN,UPC DEKODER
962,UNKNOWN,UNKNOWN,
963,UNKNOWN,UNKNOWN,DIGITURK SET ST KUTU
964,UNKNOWN,UNKNOWN,SR7013
965,UNKNOWN,UNKNOWN,
966,UNKNOWN,UNKNOWN,
967,UNKNOWN,UNKNOWN,T-MOBILE SET TOP BOX
968,UNKNOWN,UNKNOWN,HD+
969,UNKNOWN,UNKNOWN,EON SMART BOX
970,UNKNOWN,UNKNOWN,REDMI BUDS 6
971,UNKNOWN,UNKNOWN,AMAZON FIRE T
972,UNKNOWN,UNKNOWN,AMAZON FIRETV
973,UNKNOWN,BOSE SOLO5,BOSE SOLO 5 SYSTEM
974,UNKNOWN,UNKNOWN,AMAZON FIRETV
975,UNKNOWN,UNKNOWN,APPLE TV
976,UNKNOWN,UNKNOWN,
977,UNKNOWN,UNKNOWN,FVP-5000T
978,UNKNOWN,UNKNOWN,JBL XTREME 4
979,UNKNOWN,UNKNOWN,AMAZON FIRE T
980,UNKNOWN,UNKNOWN,VODAFONE BOX
981,UNKNOWN,UNKNOWN,DESCODIFICADOR
982,SONOS BEAM,UNKNOWN,TELENETTVBOX
983,UNKNOWN,UNKNOWN,SKY DEUTSCHLAND SET-TOP-BOX
984,UNKNOWN,UNKNOWN,
985,LG LGSOUNDBAR,UNKNOWN,TV-BOX 1
986,UNKNOWN,UNKNOWN,AMAZON FIRE T
987,UNKNOWN,UNKNOWN,
988,UNKNOWN,UNKNOWN,DIRECT ONE
989,UNKNOWN,UNKNOWN,
990,UNKNOWN,UNKNOWN,AIRPODS PRO
991,UNKNOWN,UNKNOWN,
992,UNKNOWN,UNKNOWN,
993,UNKNOWN,UNKNOWN,
994,UNKNOWN,LG SC9S,LG SPEAKER SC9S 3161
995,UNKNOWN,UNKNOWN,AMAZON FIRETV
996,UNKNOWN,UNKNOWN,JBL TOUR ONE M2
997,UNKNOWN,UNKNOWN,
998,UNKNOWN,UNKNOWN,T-HOME BELT RI EGYS G
999,UNKNOWN,UNKNOWN,TELENETTVBOX 2
1000,UNKNOWN,UNKNOWN,VODAFONE TV DECODIFICADOR
1001,UNKNOWN,UNKNOWN,
1002,UNKNOWN,UNKNOWN,
1003,LG S60T,LG S60T,LG US60T
1004,UNKNOWN,UNKNOWN,CANAL+ APP
1005,SAMSUNG SAMSUNGSOUNDBAR,ETC OTHERSOUNDBAR,SOUNDBAR
1006,UNKNOWN,UNKNOWN,ALTIBOX DIGITALBOKS
1007,UNKNOWN,UNKNOWN,
1008,UNKNOWN,UNKNOWN,LG CHANNELS
1009,UNKNOWN,UNKNOWN,SKY
1010,UNKNOWN,UNKNOWN,AMINO STB
1011,UNKNOWN,UNKNOWN,
1012,UNKNOWN,UNKNOWN,AMAZON FIRE T
1013,UNKNOWN,SAMSUNG HWQ6CSERIES,HW-Q6C SERIES
1014,UNKNOWN,UNKNOWN,
1015,UNKNOWN,UNKNOWN,FIRE TV STICK
1016,UNKNOWN,UNKNOWN,EE TV
1017,LG S80TR,LG S80TR,LG US80TR
1018,UNKNOWN,UNKNOWN,
1019,LG LGSOUNDBAR,UNKNOWN,SKY Q
1020,LG S95QR,UNKNOWN,PLAYSTATION 5 PRO
1021,SAMSUNG SAMSUNGSOUNDBAR,ETC OTHERSOUNDBAR,SOUNDBAR
1022,UNKNOWN,UNKNOWN,FAMILY ROOM
1023,UNKNOWN,UNKNOWN,UPC DEKODER
1024,UNKNOWN,UNKNOWN,AMAZON FIRE T
1025,UNKNOWN,UNKNOWN,
1026,UNKNOWN,UNKNOWN,B O CORE
1027,UNKNOWN,UNKNOWN,SKY Q
1028,PANASONIC PANASONICSOUNDBAR,UNKNOWN,BD PLAYER
1029,UNKNOWN,UNKNOWN,SKY Q
1030,UNKNOWN,UNKNOWN,VODAFONE TV DECODIFICADOR
1031,UNKNOWN,UNKNOWN,PLAYSTATION 4
1032,UNKNOWN,UNKNOWN,
1033,UNKNOWN,UNKNOWN,
1034,UNKNOWN,UNKNOWN,RX-A2080
1035,UNKNOWN,UNKNOWN,
1036,LG S90TY,LG S90TY,LG DS90TY
1037,UNKNOWN,UNKNOWN,PLAYSTATION 5
1038,UNKNOWN,UNKNOWN,
1039,LG S40TR,LG S40TR,LG S40TR
1040,UNKNOWN,UNKNOWN,B O THEATRE
1041,UNKNOWN,UNKNOWN,PLAYSTATION 5
1042,LG SC9S,LG SC9S,LG SC9S
1043,UNKNOWN,UNKNOWN,
1044,UNKNOWN,UNKNOWN,LG CHANNELS
1045,UNKNOWN,UNKNOWN,
1046,UNKNOWN,UNKNOWN,FIRE TV STICK
1047,UNKNOWN,UNKNOWN,
1048,UNKNOWN,UNKNOWN,
1049,UNKNOWN,UNKNOWN,AMAZON FIRETV
1050,UNKNOWN,UNKNOWN,UPC DEKODER
1051,UNKNOWN,UNKNOWN,GSV DEFAULT
1052,YAMAHA YAS207,YAMAHA YAS207,YAS-207
1053,UNKNOWN,UNKNOWN,HD+
1054,UNKNOWN,UNKNOWN,ALTIBOX DIGITALBOKS
1055,UNKNOWN,UNKNOWN,AIRPODS PRO - FIND MY
1056,UNKNOWN,UNKNOWN,
1057,UNKNOWN,UNKNOWN,
1058,UNKNOWN,SONOS ARCULTRA,ARC ULTRA
1059,UNKNOWN,LG SG10TY,LG SPEAKER SG10TY 0416
1060,UNKNOWN,UNKNOWN,YOUBOSS
1061,UNKNOWN,UNKNOWN,SKY
1062,UNKNOWN,UNKNOWN,SKY Q
1063,UNKNOWN,UNKNOWN,
1064,LG S70TR,LG S70TR,LG DS70TR
1065,UNKNOWN,UNKNOWN,SHIELD
1066,UNKNOWN,UNKNOWN,APPLE OTT
1067,LG S77TY,LG S77TY,LG DS77TY
1068,UNKNOWN,UNKNOWN,SKY Q
1069,UNKNOWN,UNKNOWN,
